"","species","qtd"
"772","Anthurium expansum",0
"773","Anthurium fasciale",0
"774","Anthurium fendleri",0
"775","Anthurium flavescens",0
"776","Anthurium fontoides",0
"777","Anthurium formosum",0
"778","Anthurium friedrichsthalii",0
"779","Anthurium galactospadix",0
"780","Anthurium gracile",2
"781","Anthurium guayanum",0
"782","Anthurium herthae",0
"783","Anthurium hookeri",0
"784","Anthurium icanense",0
"785","Anthurium interruptum",0
"786","Anthurium jenmanii",0
"787","Anthurium knappiae",0
"788","Anthurium krukovii",0
"789","Anthurium kunthii",0
"790","Anthurium lancifolium",0
"791","Anthurium lanjouwii",0
"792","Anthurium lindmanianum",0
"793","Anthurium llewelynii",0
"794","Anthurium longispadiceum",0
"795","Anthurium loretense",0
"796","Anthurium macleanii",0
"797","Anthurium maguirei",0
"798","Anthurium manuanum",0
"799","Anthurium marginellum",0
"800","Anthurium michelii",0
"801","Anthurium microspadix",0
"802","Anthurium mindense",0
"803","Anthurium monzonense",0
"804","Anthurium moonenii",0
"805","Anthurium obtusum",0
"806","Anthurium ottonis",0
"807","Anthurium oxycarpum",0
"808","Anthurium pallidiflorum",0
"809","Anthurium paraguayense",0
"810","Anthurium pedatoradiatum",0
"811","Anthurium pendulifolium",0
"812","Anthurium penningtonii",0
"813","Anthurium pentaphyllum",2
"814","Anthurium pittieri",0
"815","Anthurium plowmanii",0
"816","Anthurium polyschistum",0
"817","Anthurium pranceanum",0
"818","Anthurium pseudoclavigerum",0
"819","Anthurium ptarianum",0
"820","Anthurium roraimense",0
"821","Anthurium sagittatum",0
"822","Anthurium scandens",0
"823","Anthurium sinuatum",1
"824","Anthurium solitarium",0
"825","Anthurium superbum",0
"826","Anthurium tarapotense",0
"827","Anthurium tatei",0
"828","Anthurium tenaense",0
"829","Anthurium thrinax",0
"830","Anthurium tikunorum",0
"831","Anthurium trinervium",0
"832","Anthurium triphyllum",0
"833","Anthurium truncicola",0
"834","Anthurium uleanum",0
"835","Anthurium vaupesianum",0
"836","Anthurium versicolor",0
"837","Anthurium vittariifolium",0
"838","Anthurium vomeriforme",0
"839","Anthurium willifordii",0
"840","Anthurium wurdackii",0
"841","Anthurium yurimaguense",0
"842","Bognera recondita",0
"843","Caladium amazonicum",0
"844","Caladium bicolor",1
"845","Caladium coerulescens",0
"846","Caladium cortesae",0
"847","Caladium humboldtii",0
"848","Caladium intermedium",0
"849","Caladium macrotites",0
"850","Caladium palaciosii",0
"851","Caladium picturatum",0
"852","Caladium schomburgkii",0
"853","Caladium smaragdinum ",0
"854","Caladium steudnerifolium",0
"855","Caladium stevensonii ",0
"856","Caladium steyermarkii",0
"857","Caladium ternatum",0
"858","Caladium tuberosum",0
"859","Chlorospatha boosii",0
"860","Chlorospatha cutucuensis",0
"861","Chlorospatha feuersteiniae",0
"862","Chlorospatha hastifolia",0
"863","Chlorospatha longipoda",0
"864","Chlorospatha plowmanii",0
"865","Chlorospatha pubescens",0
"866","Colocasia esculenta",1
"867","Dieffenbachia acreana",0
"868","Dieffenbachia alexiadesii",0
"869","Dieffenbachia amapaensis",0
"870","Dieffenbachia cannifolia",0
"871","Dieffenbachia costata",0
"872","Dieffenbachia duidae",0
"873","Dieffenbachia elegans",0
"874","Dieffenbachia gracilis",0
"875","Dieffenbachia humilis",0
